event_id,timestamp,src_node,dst_node,edge_type,channel,amount,device_fingerprint,src_label,dst_label,is_fraud_edge
111,20,1874428,110612,11,bank_app,25.05,dev_229964,0,2,0
112,20,2100264,954828,10,wallet,14.77,dev_064036,2,3,0
113,21,1938952,292561,9,wallet,18.36,dev_401400,0,3,0
114,21,1776553,869693,10,bank_app,36.08,dev_299449,3,3,0
115,21,635187,1291700,10,bank_app,64.7,dev_454886,0,2,0
116,22,1334112,1628525,10,qr_pay,18.01,dev_276760,0,0,0
117,22,1746296,1626811,9,bank_app,68.21,dev_777814,0,0,0
118,22,2022605,770040,9,bank_app,35.33,dev_137731,2,0,0
119,23,2228977,2171922,9,qr_pay,15.13,dev_019628,2,2,0
120,23,940875,1895276,9,qr_pay,26.79,dev_070860,0,3,0
121,23,2331222,1736969,9,qr_pay,25.8,dev_414250,0,0,0
122,23,66665,809974,11,merchant_api,14.2,dev_978180,0,0,0
123,23,378568,1761394,10,web,36.08,dev_543949,0,2,0
124,23,1960830,2098252,9,qr_pay,41.73,dev_876683,0,2,0
125,23,1637548,2044729,10,web,5.86,dev_818483,3,2,0
126,23,2140520,1760538,11,merchant_api,6.01,dev_062958,0,3,0
127,24,1365880,533449,9,web,49.51,dev_704217,3,0,0
128,24,1727261,2087597,10,merchant_api,11.78,dev_947728,2,2,0
129,24,1940658,1943142,9,web,44.34,dev_644122,0,2,0
130,24,1659239,983648,10,merchant_api,49.54,dev_244724,3,3,0
131,25,810300,2232359,10,wallet,7.82,dev_512726,0,2,0
132,25,1664850,1644135,10,wallet,6.89,dev_497330,3,3,0
133,25,549024,32833,10,wallet,110.72,dev_604873,0,0,0
134,26,2019452,1707310,9,wallet,46.36,dev_954752,2,0,0
135,26,1921265,984678,10,bank_app,16.82,dev_557364,0,2,0
136,26,300680,2329807,10,bank_app,10.59,dev_113760,0,3,0
137,26,2242906,1306788,10,bank_app,15.5,dev_358832,0,2,0
138,27,1529354,1498854,11,web,9.1,dev_074934,2,2,0
139,27,1640302,1716045,10,qr_pay,54.33,dev_136690,2,2,0
140,27,1754054,2019729,9,bank_app,16.79,dev_287480,2,2,0
141,28,410597,1443637,10,web,65.64,dev_875575,3,1,1
142,28,1903096,332514,10,web,17.11,dev_947949,0,0,0
143,28,1998611,1951658,9,qr_pay,13.21,dev_986061,2,2,0
144,28,1962473,2145857,11,merchant_api,18.11,dev_189242,2,2,0
145,29,2195299,1093773,10,merchant_api,2.31,dev_766848,0,2,0
146,29,1364697,1822823,10,merchant_api,22.01,dev_139077,0,2,0
147,29,2062058,709251,10,merchant_api,21.05,dev_611326,0,2,0
148,29,1992453,1266155,9,web,70.97,dev_225062,2,2,0
149,29,213376,2147374,10,merchant_api,4.49,dev_091256,0,2,0
150,30,610143,427748,9,merchant_api,96.13,dev_164979,3,0,0
151,30,2175657,1874302,10,wallet,51.34,dev_343367,2,2,0
152,30,1122829,889835,10,wallet,75.7,dev_971298,0,0,0
153,30,1971650,265124,9,merchant_api,32.22,dev_922523,2,2,0
154,31,1989526,1004333,10,bank_app,61.1,dev_134607,0,0,0
155,31,1631191,1934525,10,bank_app,6.53,dev_083067,2,2,0
156,31,1994188,1443926,9,wallet,64.18,dev_891767,2,2,0
157,31,220643,1198734,11,qr_pay,13.28,dev_949240,0,0,0
158,32,2322442,1231728,5,qr_pay,5.55,dev_177307,2,0,0
159,32,998046,2057142,6,web,9.66,dev_779924,0,2,0
160,32,138378,936895,4,bank_app,33.95,dev_422896,0,0,0
161,32,1421175,2246337,5,qr_pay,11.68,dev_229335,0,2,0
162,32,878002,234656,6,web,37.28,dev_183313,0,2,0
163,32,1254961,2137886,4,bank_app,6.64,dev_119762,3,2,0
164,32,2338997,1209690,10,qr_pay,3.62,dev_887988,3,0,0
165,32,474852,2158253,1,web,91.39,dev_802128,0,0,0
166,32,828413,767561,4,bank_app,76.2,dev_093790,0,0,0
167,32,2261068,1249248,11,web,10.34,dev_277925,2,3,0
168,33,914002,1002167,4,qr_pay,33.69,dev_367034,0,3,0
169,33,2343723,103048,5,web,61.41,dev_720163,3,0,0
170,33,2344355,2244002,5,web,35.78,dev_370438,2,2,0
171,33,1979022,2014100,5,web,28.03,dev_841399,0,0,0
172,34,1352095,1210831,4,web,90.53,dev_962661,0,2,0
173,34,1652926,793749,5,merchant_api,12.71,dev_648250,0,0,0
174,34,932935,670982,9,web,34.75,dev_373169,0,0,0
175,34,169752,2348365,4,web,33.25,dev_039710,0,2,0
176,34,1322322,201775,4,web,26.43,dev_499724,0,2,0
177,34,1523827,560383,10,merchant_api,17.27,dev_178817,3,0,0
178,34,893022,1358116,5,merchant_api,26.2,dev_676313,0,0,0
179,34,820314,821209,5,merchant_api,25.3,dev_291358,0,0,0
180,34,2345560,2345600,5,merchant_api,9.55,dev_820363,2,2,0
181,35,306807,2046686,1,bank_app,54.69,dev_719528,0,0,0
182,35,1824985,2348904,10,wallet,10.19,dev_119921,3,2,0
183,35,2351090,2232403,5,wallet,20.16,dev_807249,0,0,0
184,35,303685,291912,6,bank_app,20.37,dev_279732,3,2,0
185,35,1883072,3694008,4,merchant_api,46.63,dev_030996,0,2,0
186,35,695780,628402,9,merchant_api,5.02,dev_008455,2,3,0
187,36,1612416,178258,5,bank_app,54.7,dev_232235,0,0,0
188,36,249310,985790,4,wallet,18.37,dev_120798,0,2,0
189,36,441523,95534,5,bank_app,73.55,dev_319490,0,3,0
190,36,2351094,1970515,5,bank_app,15.95,dev_398700,2,3,0
191,36,1896245,2032140,5,bank_app,23.48,dev_890915,0,0,0
192,36,1037878,182170,4,wallet,189.12,dev_074954,3,2,0
193,36,2229822,710733,5,bank_app,19.11,dev_571716,2,3,0
194,37,511112,1882811,5,qr_pay,74.81,dev_265333,3,3,0
195,37,1914713,430256,6,web,27.53,dev_482362,0,0,0
196,37,2357743,1693122,4,bank_app,49.1,dev_652158,2,3,0
197,37,1729565,2214402,4,bank_app,35.98,dev_435360,3,2,0
198,37,288839,2196780,5,qr_pay,52.62,dev_663942,0,0,0
199,37,571778,574779,1,web,14.34,dev_743021,0,0,0
200,37,2355791,2355804,1,web,10.96,dev_727131,0,0,0
201,38,2360553,779299,4,qr_pay,19.02,dev_360294,2,0,0
202,38,2358491,1351066,4,qr_pay,36.96,dev_010030,2,1,1
203,38,1161014,113070,5,web,20.11,dev_031071,0,3,0
204,38,426620,890361,1,merchant_api,50.36,dev_760279,0,0,0
205,38,407489,331469,1,merchant_api,85.99,dev_693406,0,0,0
206,38,2357966,1979908,5,web,10.19,dev_700347,0,0,0
207,38,2359173,447715,4,qr_pay,17.45,dev_930891,0,0,0
208,38,2140404,2324078,4,qr_pay,9.28,dev_471587,0,2,0
209,39,160642,2330292,5,merchant_api,152.53,dev_572894,3,0,0
210,39,2361721,2181038,5,merchant_api,32.27,dev_622687,2,0,0
211,39,2348969,2349949,5,merchant_api,37.78,dev_972432,0,0,0
212,39,249810,754817,5,merchant_api,7.34,dev_381268,0,0,0
213,39,2364696,1530867,4,web,33.75,dev_348487,0,0,0
214,39,1685966,1918522,5,merchant_api,38.8,dev_604364,3,2,0
215,39,1293713,937736,6,wallet,21.17,dev_163979,2,3,0
216,39,386629,707854,5,merchant_api,64.59,dev_872881,3,0,0
217,39,1669711,2356245,9,web,270.6,dev_977809,0,0,0
218,40,282899,764738,1,bank_app,11.33,dev_775313,1,0,1
219,40,2334850,1226160,10,wallet,9.78,dev_122601,0,3,0
220,40,1998239,866422,4,merchant_api,15.33,dev_275911,0,0,0
221,40,2293311,2314974,4,merchant_api,143.39,dev_349690,2,2,0
222,41,2188363,714098,10,bank_app,62.68,dev_793358,2,0,0
223,41,762439,1337706,5,bank_app,21.72,dev_069258,0,0,0
224,41,1873464,1865932,6,qr_pay,27.46,dev_271384,0,0,0
225,41,2067380,1616675,9,wallet,16.2,dev_578770,0,2,0
226,41,2371217,2361683,5,bank_app,54.65,dev_126374,0,0,0
227,41,1983395,236351,1,qr_pay,18.88,dev_383918,0,3,0
228,41,784707,629126,4,wallet,26.73,dev_937963,2,0,0
229,41,2009978,977562,1,qr_pay,45.97,dev_679929,0,2,0
230,41,491022,2368065,1,qr_pay,22.44,dev_726492,0,0,0
231,42,2372160,1972436,4,bank_app,27.34,dev_175231,0,2,0
232,42,1422244,1331532,5,qr_pay,24.77,dev_681503,0,0,0
233,42,378581,252188,4,bank_app,69.12,dev_122218,0,3,0
234,42,1373369,425800,9,bank_app,148.69,dev_823761,0,3,0
235,42,1109415,915228,5,qr_pay,41.55,dev_631206,0,0,0
236,42,329228,53025,5,qr_pay,50.55,dev_125864,3,2,0
237,42,2346489,1442951,5,qr_pay,20.49,dev_786509,2,3,0
238,42,865894,1176548,5,qr_pay,12.97,dev_497034,0,3,0
239,42,336392,2023714,5,qr_pay,44.19,dev_007604,0,2,0
240,43,1410679,1139339,1,merchant_api,31.0,dev_062346,3,0,0
241,43,552469,1053605,2,wallet,8.0,dev_313402,0,0,0
242,43,2378039,656183,5,web,18.26,dev_120158,2,3,0
243,43,1440270,1038583,5,web,22.77,dev_052624,0,0,0
244,43,2373073,983382,10,web,15.5,dev_560821,2,3,0
245,44,1265930,1466206,5,merchant_api,93.09,dev_542804,3,0,0
246,44,1459553,1215165,10,merchant_api,37.78,dev_609588,0,2,0
247,44,2380807,1435854,4,web,116.26,dev_055966,3,0,0
248,44,195727,31055,5,merchant_api,31.1,dev_697263,0,0,0
249,44,2379267,104445,4,web,36.35,dev_580198,3,0,0
250,44,2380522,2154075,3,qr_pay,13.42,dev_669739,0,2,0
251,45,5220,430631,1,bank_app,26.86,dev_174541,0,3,0
252,45,376465,518430,3,web,31.56,dev_196396,0,3,0
253,45,456922,2194380,9,merchant_api,9.87,dev_883222,0,2,0
254,45,2008632,1470459,5,wallet,15.1,dev_618899,0,3,0
255,45,553500,813173,6,bank_app,19.87,dev_036837,0,0,0
256,45,2383025,1277780,4,merchant_api,49.02,dev_841507,2,3,0
257,45,1764476,2048993,4,merchant_api,51.17,dev_231895,0,2,0
258,45,159487,1204227,5,wallet,14.54,dev_477868,3,3,0
259,45,2383585,2176725,3,web,47.56,dev_640019,2,2,0
260,45,2362310,2383837,1,bank_app,22.56,dev_930662,0,2,0
261,46,279120,1564766,1,qr_pay,2.01,dev_880182,0,2,0
262,46,1640494,474833,1,qr_pay,17.18,dev_109622,2,3,0
263,46,2386286,1623688,1,qr_pay,70.18,dev_998790,0,0,0
264,46,1582858,140994,10,bank_app,5.4,dev_460821,0,2,0
265,46,2387603,657591,6,qr_pay,29.41,dev_002214,2,3,0
266,46,1673822,894927,3,merchant_api,129.9,dev_948637,0,0,0
267,46,1152383,2385981,5,bank_app,12.37,dev_451251,3,2,0
268,46,2286078,505896,5,bank_app,24.58,dev_307258,2,3,0
269,46,2387126,403334,4,wallet,10.45,dev_114808,2,0,0
270,47,1918433,2240832,5,qr_pay,106.11,dev_029640,0,2,0
271,47,997260,465495,5,qr_pay,22.76,dev_735297,0,2,0
272,47,2389802,318636,5,qr_pay,25.58,dev_329549,3,3,0
273,47,2390801,2252383,5,qr_pay,83.0,dev_425420,0,0,0
274,47,1291043,1637071,5,qr_pay,44.49,dev_774171,0,2,0
275,48,1357700,2392875,5,web,11.16,dev_589254,3,2,0
276,48,2371696,1943376,4,qr_pay,18.87,dev_509948,0,2,0
277,48,398302,1179028,5,web,38.3,dev_282615,2,3,0
278,48,1442087,1308062,5,web,13.99,dev_629432,0,0,0
279,48,2392321,2254769,2,wallet,4.28,dev_496886,3,0,0
280,48,1478489,1444852,1,merchant_api,25.33,dev_635168,0,3,0
281,48,2024418,2259417,5,web,6.47,dev_613185,3,2,0
282,49,1923746,666900,5,merchant_api,105.07,dev_786612,2,3,0
283,49,1804324,2354775,4,web,39.61,dev_828240,3,2,0
284,49,2292808,600108,4,web,14.96,dev_348339,3,3,0
285,49,428474,1426966,1,wallet,14.17,dev_768627,0,2,0
286,49,2393276,2246764,10,merchant_api,4.48,dev_043266,2,2,0
287,49,290584,252183,9,web,12.56,dev_346480,2,3,0
288,50,149514,2276541,4,merchant_api,84.33,dev_650104,2,2,0
289,50,2396505,2390363,6,bank_app,198.07,dev_433332,0,0,0
290,50,1160373,711334,5,wallet,47.17,dev_806803,0,2,0
291,50,2399005,3693186,1,bank_app,24.46,dev_049239,0,2,0
292,50,987288,2397971,10,wallet,16.63,dev_667591,3,2,0
293,50,2027678,2007547,5,wallet,10.37,dev_287355,0,0,0
294,50,1692279,1182627,4,merchant_api,215.68,dev_641009,0,0,0
295,51,857319,2111975,6,qr_pay,22.42,dev_834138,0,3,0
296,51,2402560,1952523,1,qr_pay,178.41,dev_367109,0,0,0
297,51,1202486,573059,5,bank_app,85.98,dev_052637,3,0,0
298,51,1131190,1648747,5,bank_app,5.12,dev_116708,0,0,0
299,51,2401603,2037172,6,qr_pay,14.59,dev_110250,0,2,0
300,51,1523310,1564071,1,qr_pay,14.55,dev_490760,0,2,0
301,52,1050541,642153,6,web,24.73,dev_765732,3,0,0
302,52,1884425,1900705,5,qr_pay,23.24,dev_314803,2,3,0
303,52,52175,2295851,5,qr_pay,363.8,dev_476271,0,2,0
304,52,894704,172378,4,bank_app,12.81,dev_048013,0,3,0
305,52,2133369,643480,5,qr_pay,30.15,dev_032802,2,3,0
306,53,909302,2409003,4,qr_pay,58.84,dev_761197,3,0,0
307,53,2034403,1884693,4,qr_pay,33.74,dev_889461,0,0,0
308,53,1205256,154928,5,web,27.09,dev_867927,0,0,0
309,53,1417300,366618,6,merchant_api,10.38,dev_370002,0,0,0
310,53,117486,1768428,4,qr_pay,37.18,dev_438229,3,0,0
311,53,2408272,1495986,5,web,38.87,dev_719947,0,2,0
312,54,233463,1320953,5,merchant_api,32.95,dev_905752,0,2,0
313,54,409489,1606833,3,qr_pay,52.1,dev_430122,3,3,0
314,54,1985741,1519569,5,merchant_api,87.47,dev_351895,0,3,0
315,54,2411690,1877656,5,merchant_api,57.01,dev_713926,0,0,0
316,54,2268643,1981435,9,web,36.02,dev_437367,2,2,0
317,54,1817373,2078576,9,web,11.77,dev_647089,3,2,0
318,55,623742,1682103,4,merchant_api,19.69,dev_469810,3,2,0
319,55,54578,1714039,6,bank_app,21.81,dev_806545,0,3,0
320,55,200503,382002,4,merchant_api,42.4,dev_774015,0,2,0
321,56,1734647,1178023,6,qr_pay,17.28,dev_126623,0,3,0
322,56,324507,393139,4,wallet,14.55,dev_464816,0,3,0
323,56,2417653,655128,4,wallet,11.6,dev_276685,2,0,0
324,56,2417090,28925,5,bank_app,5.55,dev_623102,0,2,0
325,56,1105668,1582653,4,wallet,27.35,dev_914235,0,0,0
326,56,2417747,2051921,5,bank_app,6.54,dev_609441,0,0,0
327,56,353898,2291609,4,wallet,13.73,dev_779540,3,2,0
328,57,2420326,2356932,6,web,18.64,dev_707943,2,2,0
329,57,2417520,349792,4,bank_app,10.15,dev_377777,2,3,0
330,57,1714233,1696885,6,web,37.4,dev_945255,0,3,0
331,57,1866163,1713843,11,web,51.74,dev_782382,3,3,0
332,58,56587,109969,1,merchant_api,16.21,dev_031943,0,0,0
333,58,1002478,1701688,3,bank_app,21.05,dev_653802,0,3,0
334,58,1790858,1179834,1,merchant_api,43.11,dev_505810,3,0,0
335,58,2421821,1216100,4,qr_pay,17.77,dev_230402,1,0,1
336,58,2422640,806589,6,merchant_api,13.14,dev_310993,2,2,0
337,58,498906,1788465,1,merchant_api,78.01,dev_171956,0,0,0
338,58,939648,38088,4,qr_pay,74.87,dev_987932,0,0,0
339,58,2421561,1892246,4,qr_pay,58.06,dev_754464,0,0,0
340,59,2424584,2238393,6,wallet,61.13,dev_204276,2,0,0
341,59,2425748,1493556,5,merchant_api,4.14,dev_475293,2,0,0
342,59,2044307,64833,5,merchant_api,82.97,dev_267798,2,0,0
343,59,1962188,798253,5,merchant_api,34.91,dev_584620,0,0,0
344,59,2426038,2193882,3,qr_pay,77.46,dev_128553,0,2,0
345,59,2424762,736146,5,merchant_api,34.76,dev_121523,2,2,0
346,59,1964944,2356928,5,merchant_api,25.64,dev_613376,0,2,0
347,59,2085818,329475,5,merchant_api,19.15,dev_667444,2,0,0
348,59,527851,2134834,5,merchant_api,34.14,dev_919052,0,0,0
349,59,1171842,2379237,4,web,25.52,dev_477231,0,0,0
350,60,415858,428253,5,wallet,53.58,dev_352907,3,3,0
351,60,344947,301007,3,web,7.48,dev_684781,3,3,0
352,60,99219,864518,5,wallet,15.07,dev_308400,0,3,0
353,60,2411020,2425164,6,bank_app,167.39,dev_009869,3,2,0
354,61,1979395,1307474,4,wallet,19.23,dev_498854,0,2,0
355,61,2026364,1497626,4,wallet,27.25,dev_414140,0,2,0
356,61,848754,1791063,6,qr_pay,12.01,dev_415306,3,2,0
357,61,537131,606148,4,wallet,45.71,dev_811534,0,0,0
358,61,300342,381896,1,qr_pay,13.7,dev_286852,3,2,0
359,62,118380,122353,5,qr_pay,20.76,dev_760441,3,3,0
360,62,1436454,2245867,10,qr_pay,52.67,dev_806159,2,0,0
361,62,1761422,1465465,5,qr_pay,13.08,dev_713701,0,0,0
362,62,2433748,253743,5,qr_pay,49.89,dev_022793,2,2,0
363,62,2015743,220288,6,web,55.7,dev_689095,0,0,0
364,62,2052423,373624,1,web,68.68,dev_785951,0,3,0
365,62,1334035,471888,4,bank_app,38.34,dev_271350,0,0,0
366,62,1687310,1743920,5,qr_pay,453.56,dev_700060,3,3,0
367,62,1492902,514326,4,bank_app,87.28,dev_689215,0,0,0
368,63,1593145,1619349,3,bank_app,41.78,dev_530758,0,2,0
369,63,2436703,2436786,1,merchant_api,12.08,dev_828869,2,2,0
370,63,1962613,1911765,5,web,22.48,dev_960650,0,0,0
371,63,2167386,2434978,10,web,88.56,dev_727559,2,2,0
372,63,1548731,1231043,5,web,114.27,dev_796841,3,0,0
373,64,541851,2438642,1,wallet,100.53,dev_793712,3,0,0
374,64,2393906,2438809,4,web,68.49,dev_032956,2,3,0
375,64,1590126,351596,6,wallet,8.58,dev_818878,3,0,0
376,64,2436581,2047734,10,merchant_api,38.03,dev_036800,2,2,0
377,64,678271,289355,4,web,11.05,dev_312914,0,3,0
378,65,707945,548790,9,merchant_api,8.86,dev_047704,0,2,0
379,65,1576172,2220265,9,merchant_api,41.9,dev_962480,0,2,0
380,65,2440323,2437976,4,merchant_api,54.1,dev_180800,0,0,0
381,65,2157654,663595,4,merchant_api,76.18,dev_027488,3,3,0
382,65,1804540,2066863,4,merchant_api,52.85,dev_444439,0,2,0
383,66,1820239,518380,1,qr_pay,42.88,dev_979000,3,0,0
384,69,984785,367815,5,merchant_api,10.11,dev_394205,3,3,0
385,69,2052999,862761,5,merchant_api,22.32,dev_377736,0,0,0
386,70,2445255,4135,10,wallet,6.32,dev_825098,2,0,0
387,70,727544,316332,5,wallet,4.04,dev_934653,0,0,0
388,70,2446523,1580393,4,merchant_api,65.8,dev_912990,2,0,0
389,71,918068,1084625,5,bank_app,12.46,dev_287880,0,2,0
390,71,2446190,1586359,9,wallet,74.09,dev_306392,2,3,0
391,71,1968898,2393011,4,wallet,91.61,dev_378869,0,2,0
392,71,623253,2031959,1,qr_pay,15.22,dev_704703,0,3,0
393,71,202718,996534,1,qr_pay,45.21,dev_382004,0,0,0
394,72,1081670,61060,4,bank_app,18.63,dev_589396,0,0,0
395,72,1123668,686874,4,bank_app,6.42,dev_068770,0,0,0
396,72,748541,227068,5,qr_pay,27.41,dev_998926,0,0,0
397,73,1833250,1598776,4,qr_pay,22.11,dev_082353,0,2,0
398,73,69598,123758,1,merchant_api,17.88,dev_095891,0,0,0
399,73,2437303,327032,5,web,145.16,dev_864299,2,0,0
400,73,227950,227949,1,merchant_api,6.73,dev_024307,0,0,0
401,73,2450386,2257072,4,qr_pay,47.68,dev_967857,0,0,0
402,73,367964,737876,5,web,10.02,dev_574054,0,3,0
403,74,2356992,2358861,6,wallet,60.19,dev_882889,2,2,0
404,74,2424328,1144133,5,merchant_api,32.09,dev_763833,2,2,0
405,74,330693,1245677,1,wallet,37.39,dev_176127,0,2,0
406,75,2454349,2348004,1,bank_app,11.35,dev_789797,3,2,0
407,75,1485871,2093875,5,wallet,12.32,dev_372692,0,2,0
