event_id,timestamp,src_node,dst_node,edge_type,channel,amount,device_fingerprint,risk_score,risk_level,action,focus_node,src_node_score,dst_node_score,is_fraud_edge,explanation
0,1,2214697,2063663,9,wallet,20.76,dev_970140,0.6293653837345478,medium,step_up_verification,2214697,0.6293601937345478,0.0186328649983838,0,degree=1; dominant_edge_type=9; dominant_share=1.00; time_span=0
36,6,1622482,1003691,9,wallet,7.13,dev_950311,0.47590384820347165,medium,step_up_verification,1622482,0.47590206570347166,0.0840581885491612,0,degree=2; dominant_edge_type=9; dominant_share=0.50; time_span=19
37,6,2010802,1924009,10,bank_app,23.42,dev_597237,0.49383544954815173,medium,step_up_verification,2010802,0.49382959454815173,0.3336005281741512,0,degree=5; dominant_edge_type=5; dominant_share=0.40; time_span=707
38,6,2252577,1189701,10,bank_app,31.6,dev_286589,0.8518486366642241,critical,freeze_and_manual_review,2252577,0.8518407366642241,0.5237982954711361,0,degree=2; dominant_edge_type=10; dominant_share=1.00; time_span=9
39,7,1448951,1569953,10,qr_pay,58.88,dev_639693,0.43582418573066734,medium,step_up_verification,1569953,0.17809514651245498,0.4358094657306673,0,degree=3; dominant_edge_type=5; dominant_share=0.33; time_span=384
40,7,2155826,1996427,10,qr_pay,18.11,dev_818748,0.41586215918952746,medium,step_up_verification,2155826,0.41585763168952744,0.11550883505382947,0,degree=4; dominant_edge_type=5; dominant_share=0.50; time_span=381
41,7,2095266,1359521,11,web,55.99,dev_821691,0.4335176697076398,medium,step_up_verification,1359521,0.27842012139094746,0.4335036722076398,0,degree=7; dominant_edge_type=11; dominant_share=0.71; time_span=726
42,7,1816440,144422,11,web,31.45,dev_155413,0.05917202177384914,low,pass,144422,0.04185535281970595,0.059164159273849146,0,degree=3; dominant_edge_type=11; dominant_share=0.67; time_span=86
43,7,2066269,1111954,9,bank_app,10.34,dev_506620,0.08887842324520451,low,pass,2066269,0.08887583824520451,0.029642499548334048,0,degree=1; dominant_edge_type=9; dominant_share=1.00; time_span=0
44,8,1445211,1807341,9,qr_pay,9.45,dev_015816,0.0937593471694169,low,pass,1807341,0.0012064326210452908,0.0937569846694169,0,degree=4; dominant_edge_type=9; dominant_share=1.00; time_span=25
45,8,318626,1823596,10,web,67.38,dev_891067,0.12444554239455301,low,pass,1823596,0.008188919626310447,0.124428697394553,0,degree=1; dominant_edge_type=10; dominant_share=1.00; time_span=0
46,8,1412486,1782490,10,web,71.98,dev_468739,0.7558352509483136,high,manual_review,1782490,0.007067765935333134,0.7558172559483136,0,degree=2; dominant_edge_type=9; dominant_share=0.50; time_span=1
47,8,883400,889517,10,web,32.81,dev_193863,0.10684390030690978,low,pass,883400,0.10683569780690978,0.09480590872260035,0,degree=1; dominant_edge_type=10; dominant_share=1.00; time_span=0
48,8,1387038,1063083,10,web,94.27,dev_534122,0.16939985526455595,low,pass,1063083,0.05456074233662858,0.16937628776455596,0,degree=3; dominant_edge_type=10; dominant_share=0.67; time_span=15
49,8,1966864,1351263,10,web,63.49,dev_755491,0.8612144989722554,critical,freeze_and_manual_review,1351263,0.5669786243144717,0.8611986264722554,0,degree=1; dominant_edge_type=10; dominant_share=1.00; time_span=0
50,8,847674,1423751,10,web,45.39,dev_618893,0.2842176284037652,low,pass,1423751,0.04977464820232859,0.2842062809037652,0,degree=2; dominant_edge_type=10; dominant_share=1.00; time_span=249
51,8,497767,978805,9,qr_pay,14.88,dev_133665,0.7868349615323185,high,manual_review,497767,0.7868312415323184,0.7267163047427058,0,degree=1; dominant_edge_type=9; dominant_share=1.00; time_span=0
52,9,2081851,1531062,10,merchant_api,116.55,dev_842710,0.08828649789545083,low,pass,1531062,0.023260936298556186,0.08825736039545083,0,degree=2; dominant_edge_type=10; dominant_share=1.00; time_span=4
53,9,1258822,1629738,11,wallet,43.06,dev_050204,0.45596256952318404,medium,step_up_verification,1258822,0.455951804523184,0.25802520383506106,0,degree=2; dominant_edge_type=5; dominant_share=0.50; time_span=457
54,9,1898280,560738,10,merchant_api,17.34,dev_103833,0.8398326064531388,high,manual_review,560738,0.13968518751279957,0.8398282714531389,0,degree=1; dominant_edge_type=10; dominant_share=1.00; time_span=0
55,9,2032133,1168508,11,wallet,14.56,dev_262510,0.6317284953663419,medium,step_up_verification,1168508,0.5442714972768619,0.6317248553663419,0,degree=4; dominant_edge_type=11; dominant_share=1.00; time_span=335
56,9,2265511,531766,9,web,42.57,dev_019764,0.5504447216848543,medium,step_up_verification,531766,0.1084719100133636,0.5504340791848542,0,degree=3; dominant_edge_type=1; dominant_share=0.33; time_span=691
57,10,1271713,957440,10,wallet,5.45,dev_266293,0.2936427054496794,low,pass,1271713,0.2936413429496794,0.000668865112630249,0,degree=4; dominant_edge_type=5; dominant_share=0.25; time_span=540
58,10,215377,2323922,10,wallet,46.05,dev_271973,0.29470240166181044,low,pass,215377,0.29469088916181047,0.021565316468463117,0,degree=3; dominant_edge_type=4; dominant_share=0.33; time_span=793
59,10,1190207,1799765,10,wallet,10.4,dev_331827,0.782917469975523,high,manual_review,1190207,0.7829148699755231,0.21052168419809483,1,degree=1; dominant_edge_type=10; dominant_share=1.00; time_span=0
60,10,1761106,7383,10,wallet,34.25,dev_855103,0.7504686338077698,high,manual_review,7383,0.030302442701609287,0.7504600713077698,0,degree=1; dominant_edge_type=10; dominant_share=1.00; time_span=0
61,10,2048102,353214,10,wallet,15.34,dev_767786,0.8649739062706046,critical,freeze_and_manual_review,353214,0.0501377298124885,0.8649700712706045,0,degree=1; dominant_edge_type=10; dominant_share=1.00; time_span=0
62,11,868673,1818404,11,qr_pay,20.95,dev_110818,0.7234876005811597,high,manual_review,1818404,0.04010818196158663,0.7234823630811597,0,degree=1; dominant_edge_type=11; dominant_share=1.00; time_span=0
63,11,2182927,1423853,10,bank_app,12.41,dev_433380,0.461461105767709,medium,step_up_verification,1423853,0.04384844622460836,0.46145800326770897,0,degree=4; dominant_edge_type=3; dominant_share=0.50; time_span=222
64,11,1971607,1970548,11,qr_pay,22.99,dev_357278,0.4159687429855777,medium,step_up_verification,1970548,0.004159061516522428,0.4159629954855777,0,degree=1; dominant_edge_type=11; dominant_share=1.00; time_span=0
65,11,2143424,1760032,10,bank_app,134.35,dev_174822,0.7508513679993655,high,manual_review,1760032,0.7050800701487684,0.7508177804993654,0,degree=10; dominant_edge_type=10; dominant_share=1.00; time_span=27
66,11,1052044,450920,10,bank_app,85.33,dev_932385,0.41872590379457897,medium,step_up_verification,1052044,0.41870457129457894,0.0680521742549559,0,degree=3; dominant_edge_type=9; dominant_share=0.67; time_span=4
67,12,1015894,130534,11,web,36.56,dev_807894,0.8108198640443193,high,manual_review,1015894,0.8108107240443193,0.026202224160290374,0,degree=2; dominant_edge_type=9; dominant_share=0.50; time_span=1
68,12,855088,2005395,10,qr_pay,23.98,dev_212553,0.3599575083447828,medium,step_up_verification,855088,0.3599515133447828,0.024868002169233523,0,degree=1; dominant_edge_type=10; dominant_share=1.00; time_span=0
69,12,1821418,651005,10,qr_pay,52.45,dev_790466,0.8719298580150168,critical,freeze_and_manual_review,1821418,0.8719167455150167,0.12675810606837268,0,degree=2; dominant_edge_type=5; dominant_share=0.50; time_span=388
70,12,1984080,1346761,10,qr_pay,67.83,dev_923137,0.8105436198956719,high,manual_review,1984080,0.810526662395672,0.05122426596601425,0,degree=1; dominant_edge_type=10; dominant_share=1.00; time_span=0
71,13,2108017,2003442,10,web,11.63,dev_725470,0.718759048821677,high,manual_review,2003442,0.08712199321929162,0.718756141321677,0,degree=5; dominant_edge_type=10; dominant_share=1.00; time_span=24
72,13,1806515,371960,10,web,22.88,dev_242112,0.35965666898146,medium,step_up_verification,1806515,0.35965094898146,0.15762010025451414,0,degree=2; dominant_edge_type=5; dominant_share=0.50; time_span=329
73,13,2275418,1944845,10,web,4.76,dev_580128,0.10295350647239426,low,pass,2275418,0.10295231647239426,0.06606505171429046,0,degree=1; dominant_edge_type=10; dominant_share=1.00; time_span=0
74,13,346061,1233812,11,merchant_api,73.02,dev_375316,0.11474474526923492,low,pass,346061,0.11472649026923493,0.011014154412551177,0,degree=2; dominant_edge_type=5; dominant_share=0.50; time_span=622
75,13,1875955,1614707,10,web,157.36,dev_922587,0.32033101750095,low,pass,1614707,0.028678330197143675,0.32029167750095,0,degree=4; dominant_edge_type=10; dominant_share=0.75; time_span=108
76,13,2069380,1261112,10,web,26.37,dev_468837,0.13822477634500843,low,pass,1261112,0.10295231647239426,0.13821818384500842,0,degree=3; dominant_edge_type=10; dominant_share=1.00; time_span=8
77,13,1690098,1206774,10,web,3.62,dev_729956,0.8344325374352691,high,manual_review,1690098,0.8344316324352691,0.15758723117989232,0,degree=1; dominant_edge_type=10; dominant_share=1.00; time_span=0
78,14,1952220,1749684,10,merchant_api,42.44,dev_385884,0.15301429746484205,low,pass,1952220,0.15300368746484205,0.031106786052537402,0,degree=2; dominant_edge_type=9; dominant_share=0.50; time_span=14
79,14,1912905,568804,10,merchant_api,10.87,dev_704541,0.038065454532272794,low,pass,568804,0.02388845132301059,0.038062737032272795,0,degree=1; dominant_edge_type=10; dominant_share=1.00; time_span=0
80,14,5936,640540,10,merchant_api,13.5,dev_461064,0.6714901501810941,high,manual_review,640540,0.07831649671584313,0.6714867751810941,0,degree=2; dominant_edge_type=10; dominant_share=1.00; time_span=687
81,14,486579,556082,10,merchant_api,43.12,dev_634094,0.8280451177925939,high,manual_review,556082,0.4362141312831788,0.8280343377925939,0,degree=2; dominant_edge_type=9; dominant_share=0.50; time_span=5
82,14,1357403,1789244,10,merchant_api,30.85,dev_896739,0.26905219923344326,low,pass,1357403,0.2690444867334433,0.02124039014908599,0,degree=4; dominant_edge_type=4; dominant_share=0.50; time_span=503
83,15,1755618,1698786,10,wallet,15.81,dev_429870,0.8550157269988098,critical,freeze_and_manual_review,1698786,0.137349698721414,0.8550117744988098,0,degree=2; dominant_edge_type=9; dominant_share=0.50; time_span=11
84,15,740388,195418,10,wallet,13.67,dev_229152,0.8355066112123491,high,manual_review,740388,0.8355031937123492,0.11079201616262761,0,degree=1; dominant_edge_type=10; dominant_share=1.00; time_span=0
85,15,1814618,24391,10,wallet,27.47,dev_991840,0.8688328886434463,critical,freeze_and_manual_review,24391,0.7881515142901595,0.8688260211434463,0,degree=1; dominant_edge_type=10; dominant_share=1.00; time_span=0
86,15,1738890,1093,11,bank_app,18.38,dev_070894,0.780173080555611,high,manual_review,1738890,0.7801684855556109,0.05042446983412591,0,degree=2; dominant_edge_type=9; dominant_share=0.50; time_span=3
87,15,1759924,210979,10,wallet,9.04,dev_360689,0.7765297494632776,high,manual_review,210979,0.05312645628575084,0.7765274894632775,0,degree=2; dominant_edge_type=10; dominant_share=1.00; time_span=16
88,15,2020830,1496618,10,wallet,18.19,dev_109751,0.8113696805803003,high,manual_review,2020830,0.8113651330803003,0.020671181336751353,0,degree=1; dominant_edge_type=10; dominant_share=1.00; time_span=0
89,16,590574,922181,10,bank_app,33.3,dev_183492,0.5549087954013474,medium,step_up_verification,590574,0.5549004704013474,0.08091188463824402,0,degree=1; dominant_edge_type=10; dominant_share=1.00; time_span=0
90,16,1553676,1738540,10,bank_app,20.9,dev_580750,0.5416486484595072,medium,step_up_verification,1553676,0.5416434234595072,0.17751919856453285,0,degree=2; dominant_edge_type=2; dominant_share=0.50; time_span=113
91,16,1227263,1096255,10,bank_app,6.87,dev_573627,0.44727911492105615,medium,step_up_verification,1096255,0.005738078558907362,0.44727739742105616,0,degree=3; dominant_edge_type=10; dominant_share=1.00; time_span=263
92,17,2288751,1966510,10,qr_pay,59.75,dev_207537,0.5272950211509565,medium,step_up_verification,1966510,0.1571235520344917,0.5272800836509565,0,degree=4; dominant_edge_type=1; dominant_share=0.25; time_span=453
93,17,22952,854768,9,bank_app,2.87,dev_830219,0.5719358594122197,medium,step_up_verification,22952,0.5719351419122197,0.2928532607534126,0,degree=2; dominant_edge_type=5; dominant_share=0.50; time_span=772
94,17,1172167,901475,10,qr_pay,16.42,dev_757066,0.7766963270758496,high,manual_review,1172167,0.7766922220758495,0.6866331476931671,0,degree=2; dominant_edge_type=9; dominant_share=0.50; time_span=11
95,17,1068977,786385,10,qr_pay,14.04,dev_356329,0.8674739734713633,critical,freeze_and_manual_review,786385,0.7898677917008241,0.8674704634713634,0,degree=4; dominant_edge_type=10; dominant_share=1.00; time_span=11
96,18,2291272,23351,9,qr_pay,38.6,dev_955348,0.16683955332016767,low,pass,2291272,0.16682990332016767,0.13873877705390233,0,degree=4; dominant_edge_type=1; dominant_share=0.50; time_span=183
97,18,386377,1575620,10,web,40.67,dev_355599,0.44913576544591377,medium,step_up_verification,386377,0.4491255979459138,0.11279640148200462,0,degree=2; dominant_edge_type=5; dominant_share=0.50; time_span=184
98,18,1689115,698424,11,merchant_api,73.27,dev_935477,0.711964156692627,high,manual_review,1689115,0.711945839192627,0.15440837622407416,0,degree=1; dominant_edge_type=11; dominant_share=1.00; time_span=0
99,18,1934928,1318388,9,qr_pay,17.79,dev_911521,0.8236311644622261,high,manual_review,1934928,0.8236267169622261,0.04481586086820472,0,degree=2; dominant_edge_type=5; dominant_share=0.50; time_span=419
100,18,1601528,459433,9,qr_pay,57.28,dev_679501,0.15838179019136084,low,pass,1601528,0.15836747019136083,0.0001778029574669183,0,degree=5; dominant_edge_type=4; dominant_share=0.40; time_span=428
101,19,1747225,2070080,11,wallet,31.7,dev_391293,0.44298848236753063,medium,step_up_verification,1747225,0.4429805573675306,0.005932001265377298,0,degree=1; dominant_edge_type=11; dominant_share=1.00; time_span=0
102,19,1770026,66037,10,merchant_api,5.26,dev_987855,0.8694568885665439,critical,freeze_and_manual_review,66037,0.7316124350768516,0.8694555735665439,0,degree=5; dominant_edge_type=10; dominant_share=1.00; time_span=24
103,19,1849591,516795,11,wallet,147.01,dev_725640,0.7050213794927909,high,manual_review,516795,0.4863500756302183,0.7049846269927909,0,degree=3; dominant_edge_type=11; dominant_share=1.00; time_span=370
104,20,1740074,970984,10,wallet,6.72,dev_464208,0.6179396709627357,medium,step_up_verification,970984,0.0019311291890686834,0.6179379909627357,0,degree=2; dominant_edge_type=6; dominant_share=0.50; time_span=214
105,20,1882020,349727,11,bank_app,38.77,dev_453278,0.6834680847818257,high,manual_review,1882020,0.6834583922818257,0.05767891157797191,0,degree=1; dominant_edge_type=11; dominant_share=1.00; time_span=0
106,20,658,898159,9,merchant_api,47.99,dev_707024,0.05161047261163356,low,pass,898159,0.01228453284986424,0.05159847511163356,0,degree=1; dominant_edge_type=9; dominant_share=1.00; time_span=0
107,20,2069062,3687077,9,merchant_api,43.3,dev_207520,0.25696297457039413,low,pass,2069062,0.25695214957039414,0.03353968375293695,0,degree=2; dominant_edge_type=9; dominant_share=1.00; time_span=2
108,20,513510,457947,10,wallet,15.72,dev_775591,0.4194477634823033,medium,step_up_verification,457947,0.0013907489251150159,0.4194438334823033,0,degree=7; dominant_edge_type=10; dominant_share=1.00; time_span=749
109,20,1847597,1643023,10,wallet,51.65,dev_082628,0.37011664257609256,medium,step_up_verification,1847597,0.37010373007609254,0.23835765364656478,0,degree=1; dominant_edge_type=10; dominant_share=1.00; time_span=0
110,20,2083363,240282,9,merchant_api,8.3,dev_092656,0.4310037207122684,medium,step_up_verification,240282,0.003447011104196056,0.4310016457122684,0,degree=3; dominant_edge_type=9; dominant_share=0.67; time_span=691
111,20,1874428,110612,11,bank_app,25.05,dev_229964,0.023285166900603883,low,pass,110612,0.0013789322067267356,0.023278904400603883,0,degree=2; dominant_edge_type=10; dominant_share=0.50; time_span=239
112,20,2100264,954828,10,wallet,14.77,dev_064036,0.8586497275066287,critical,freeze_and_manual_review,954828,0.6564709780653208,0.8586460350066287,0,degree=1; dominant_edge_type=10; dominant_share=1.00; time_span=0
113,21,1938952,292561,9,wallet,18.36,dev_401400,0.4062060586831383,medium,step_up_verification,292561,0.001873226971194888,0.4062014686831383,0,degree=3; dominant_edge_type=5; dominant_share=0.67; time_span=537
114,21,1776553,869693,10,bank_app,36.08,dev_299449,0.8093952655322779,high,manual_review,869693,0.004721233654842698,0.8093862455322779,0,degree=1; dominant_edge_type=10; dominant_share=1.00; time_span=0
115,21,635187,1291700,10,bank_app,64.7,dev_454886,0.010297594055611205,low,pass,1291700,0.0005642447934269989,0.010281419055611205,0,degree=12; dominant_edge_type=10; dominant_share=0.75; time_span=731
116,22,1334112,1628525,10,qr_pay,18.01,dev_276760,0.011949903871977738,low,pass,1334112,0.011945401371977738,0.00326913237021858,0,degree=3; dominant_edge_type=1; dominant_share=0.33; time_span=300
117,22,1746296,1626811,9,bank_app,68.21,dev_777814,0.06791032364583016,low,pass,1746296,0.06789327114583016,0.031336013151427596,0,degree=3; dominant_edge_type=4; dominant_share=0.33; time_span=29
118,22,2022605,770040,9,bank_app,35.33,dev_137731,0.27551682583012715,low,pass,2022605,0.27550799333012715,0.000283953064241528,0,degree=2; dominant_edge_type=9; dominant_share=0.50; time_span=16
119,23,2228977,2171922,9,qr_pay,15.13,dev_019628,0.8843141231881625,critical,freeze_and_manual_review,2228977,0.8843103406881625,0.15076759790511576,0,degree=2; dominant_edge_type=9; dominant_share=0.50; time_span=68
120,23,940875,1895276,9,qr_pay,26.79,dev_070860,0.3609235600401448,medium,step_up_verification,1895276,0.000219176302792217,0.3609168625401448,0,degree=2; dominant_edge_type=6; dominant_share=0.50; time_span=554
121,23,2331222,1736969,9,qr_pay,25.8,dev_414250,0.011455492611880055,low,pass,1736969,0.006480948229436515,0.011449042611880055,0,degree=2; dominant_edge_type=1; dominant_share=0.50; time_span=148
122,23,66665,809974,11,merchant_api,14.2,dev_978180,0.003927449457819187,low,pass,66665,0.003923899457819187,0.0015237773568199048,0,degree=2; dominant_edge_type=5; dominant_share=0.50; time_span=556
123,23,378568,1761394,10,web,36.08,dev_543949,0.09419615456457037,low,pass,1761394,0.001539737661263228,0.09418713456457037,0,degree=2; dominant_edge_type=10; dominant_share=1.00; time_span=397
124,23,1960830,2098252,9,qr_pay,41.73,dev_876683,0.8126838920448898,high,manual_review,1960830,0.8126734595448898,0.18878505850605343,0,degree=1; dominant_edge_type=9; dominant_share=1.00; time_span=0
125,23,1637548,2044729,10,web,5.86,dev_818483,0.8696813566848798,critical,freeze_and_manual_review,1637548,0.8696798916848798,0.8015187200787868,0,degree=1; dominant_edge_type=10; dominant_share=1.00; time_span=0
126,23,2140520,1760538,11,merchant_api,6.01,dev_062958,0.009829428374349906,low,pass,1760538,0.0012235593621632913,0.009827925874349906,0,degree=7; dominant_edge_type=11; dominant_share=0.86; time_span=801
127,24,1365880,533449,9,web,49.51,dev_704217,0.48438627709547394,medium,step_up_verification,1365880,0.48437389959547394,0.002100352250052908,0,degree=3; dominant_edge_type=10; dominant_share=0.67; time_span=5
128,24,1727261,2087597,10,merchant_api,11.78,dev_947728,0.8846553222959788,critical,freeze_and_manual_review,2087597,0.09384510034064505,0.8846523772959788,0,degree=2; dominant_edge_type=10; dominant_share=1.00; time_span=4
129,24,1940658,1943142,9,web,44.34,dev_644122,0.5231591984548111,medium,step_up_verification,1943142,0.4693530421560497,0.523148113454811,0,degree=2; dominant_edge_type=9; dominant_share=1.00; time_span=19
130,24,1659239,983648,10,merchant_api,49.54,dev_244724,0.8523832443375731,critical,freeze_and_manual_review,983648,0.026639446039673546,0.8523708593375731,0,degree=4; dominant_edge_type=10; dominant_share=1.00; time_span=450
131,25,810300,2232359,10,wallet,7.82,dev_512726,0.06317093795821759,low,pass,2232359,0.024830128754544663,0.06316898295821759,0,degree=1; dominant_edge_type=10; dominant_share=1.00; time_span=0
132,25,1664850,1644135,10,wallet,6.89,dev_497330,0.8429990021094099,high,manual_review,1664850,0.84299727960941,0.8190675750634168,0,degree=1; dominant_edge_type=10; dominant_share=1.00; time_span=0
133,25,549024,32833,10,wallet,110.72,dev_604873,0.7225010274986451,high,manual_review,32833,0.0055500161184267325,0.7224733474986451,0,degree=1; dominant_edge_type=10; dominant_share=1.00; time_span=0
134,26,2019452,1707310,9,wallet,46.36,dev_954752,0.759304947675437,high,manual_review,2019452,0.759293357675437,0.015059467588949218,0,degree=1; dominant_edge_type=9; dominant_share=1.00; time_span=0
135,26,1921265,984678,10,bank_app,16.82,dev_557364,0.5210811406223437,medium,step_up_verification,984678,0.052725127738343196,0.5210769356223437,0,degree=2; dominant_edge_type=5; dominant_share=0.50; time_span=371
